snapped_at time utf	price	market_cap total_volume
2015-05-14 00:00:00 UTC	11.81171259	228681842.8	647465.5739
2015-05-15 00:00:00 UTC	13.45442097	260485662.6	1043154.88
2015-05-16 00:00:00 UTC	13.64415032	264158936.8	810110.7466
2015-05-17 00:00:00 UTC	14.18003571	274533999.4	924410.6217
2015-05-18 00:00:00 UTC	13.92902774	269674334.4	810321.0577
2015-05-19 00:00:00 UTC	8.296470411	160624645	468858.4478
2015-05-20 00:00:00 UTC	13.13588398	254318595.5	608018.1743
2015-05-21 00:00:00 UTC	13.96659128	270401587.1	479342.6423
2015-05-22 00:00:00 UTC	15.08613434	299689830.2	670275.4785
2015-05-23 00:00:00 UTC	14.79023351	294108230.4	501884.1193
2015-05-24 00:00:00 UTC	15.11725223	300871112.5	392150.6988
2015-05-25 00:00:00 UTC	15.94323998	317606878	621743.3527
2015-05-26 00:00:00 UTC	17.10074426	341038432.8	719287.1454
2015-05-27 00:00:00 UTC	16.65691324	332571096.8	785060.2802
2015-05-28 00:00:00 UTC	15.69142573	313583728.4	504316.8886
